flight_id,airline_id,route_id,flight_number,scheduled_departure_date,scheduled_departure_time,scheduled_arrival_date,scheduled_arrival_time,actual_departure_date,actual_departure_time,actual_arrival_date,actual_arrival_time,scheduled_journey_time,actual_journey_time,flight_status,delay_minutes,delay_reasons,cancellation_reason
1,14,131,TZ4759,17-Apr-23,15:08:00,17-Apr-23,19:29:00,17-Apr-23,19:05:00,17-Apr-23,23:26:00,261,498,Delayed,237,"Technical, Air Traffic Control, Airline Operations, Weather, Airline Operations",
2,6,440,AS6115,13-Dec-23,17:36:00,13-Dec-23,22:16:00,13-Dec-23,17:36:00,13-Dec-23,22:16:00,280,280,On Time,0,,
3,2,482,AA1497,12-Apr-23,19:35:00,13-Apr-23,0:49:00,12-Apr-23,19:35:00,13-Apr-23,0:49:00,314,314,On Time,0,,
4,6,114,AS3786,16-Jun-23,3:37:00,16-Jun-23,12:36:00,16-Jun-23,3:37:00,16-Jun-23,12:36:00,539,539,On Time,0,,
5,7,133,NK7965,7-Oct-23,1:14:00,7-Oct-23,7:16:00,7-Oct-23,1:14:00,7-Oct-23,7:16:00,362,362,On Time,0,,
6,1,115,DL8769,30-Mar-23,7:09:00,30-Mar-23,8:56:00,30-Mar-23,7:09:00,30-Mar-23,8:56:00,107,107,On Time,0,,
7,15,156,UL5129,21-Jan-23,21:50:00,21-Jan-23,22:57:00,21-Jan-23,21:50:00,21-Jan-23,22:57:00,67,67,On Time,0,,
8,9,290,HA7279,11-Mar-23,4:39:00,11-Mar-23,8:30:00,11-Mar-23,4:39:00,11-Mar-23,8:30:00,231,231,On Time,0,,
9,15,324,UL2311,8-Mar-23,8:22:00,8-Mar-23,16:49:00,8-Mar-23,8:22:00,8-Mar-23,16:49:00,507,507,On Time,0,,
10,8,355,F91281,9-Sep-23,3:38:00,9-Sep-23,13:21:00,9-Sep-23,3:38:00,9-Sep-23,13:21:00,583,583,On Time,0,,
11,7,17,NK4900,3-Apr-23,10:53:00,3-Apr-23,19:26:00,3-Apr-23,13:42:00,3-Apr-23,22:15:00,513,682,Delayed,169,"Technical, Airline Operations, Weather",
