weather_id,airport_id,date_time,temperature,precipitation,wind_speed,visibility,conditions
1,43,9/17/2023 9:18,12.2,0.06,16.28,5.08,Clear
2,50,7/14/2023 19:40,16.38,2.91,3.59,3.14,Snowy
3,14,11/5/2023 13:01,39.27,2.79,49.21,4.18,Rainy
4,15,7/27/2023 7:21,36.64,0.06,31.52,9.15,Snowy
5,50,12/30/2023 11:34,21.64,2.15,40.28,6.01,Thunderstorm
6,17,2/24/2023 0:37,-3.56,4.32,45.33,7.69,Rainy
7,23,8/10/2023 13:57,7.5,1.49,0.18,2.97,Clear
8,2,2/7/2023 20:24,-3.25,1.14,19.72,9.92,Snowy
9,40,2/25/2023 8:16,25.03,4.71,27.2,2.71,Snowy
10,47,11/13/2023 18:58,12.5,2.39,22.99,2.05,Rainy
11,33,7/1/2023 3:16,33.04,0.57,25.78,1.34,Thunderstorm
12,4,3/5/2023 16:25,1.8,0.65,1.69,8.12,Snowy
13,36,6/25/2023 22:50,14.08,3.87,20.28,8.34,Thunderstorm
14,10,1/4/2023 0:17,24.42,0.32,29.43,8.77,Clear
15,12,11/6/2023 22:23,0.13,2.35,42.11,3.94,Clear
16,16,11/9/2023 19:51,33.89,3.5,22.96,8.4,Thunderstorm
17,28,12/5/2023 16:40,26.26,2.28,13.69,9.73,Cloudy
18,22,4/11/2023 7:17,8.97,3.59,31.43,6.69,Snowy
19,24,10/4/2023 21:06,8.12,3.01,48.24,3.62,Clear
20,30,8/30/2023 4:04,-4.7,1,5.65,5.9,Cloudy
21,1,11/22/2023 22:41,27.1,3.25,37.3,5.3,Clear
22,10,5/16/2023 12:52,3.55,3.65,14.7,5.29,Thunderstorm
23,33,12/2/2023 1:44,8.32,0.9,45.79,8.47,Rainy
24,11,6/13/2023 14:33,34.6,4.35,10.47,3.82,Thunderstorm
25,34,11/12/2023 21:33,35.1,0.94,16.19,2.36,Rainy
26,11,8/6/2023 8:21,28.89,0.28,23.76,0.57,Rainy
27,44,8/9/2023 16:44,5.18,0.31,45.66,5.07,Rainy
28,1,11/15/2023 23:49,24.26,4.37,45.68,7.23,Snowy
29,9,3/28/2023 14:48,20.8,0.14,27.05,8.82,Clear
30,40,7/19/2023 6:09,17.46,1.69,1.95,7,Rainy
31,24,5/9/2023 18:25,13.05,0.48,34.59,8.48,Clear
32,2,8/13/2023 7:44,6.92,3.87,23.92,6.99,Thunderstorm
33,41,1/3/2023 0:54,8.57,3.59,11.6,0.08,Rainy
34,12,11/5/2023 20:52,3.76,2.74,14.75,8.52,Clear
35,42,10/14/2023 19:59,1.88,2.94,41.16,6.58,Clear
36,21,6/24/2023 13:23,22.36,0.83,17.83,7.36,Clear
37,37,10/11/2023 21:12,-8.23,0.17,33.35,9.34,Clear
38,43,8/3/2023 23:04,29.05,2.38,0.53,9.22,Thunderstorm
39,43,4/25/2023 12:23,-3.93,4.33,49.65,8.43,Clear
40,6,1/16/2023 2:37,16.93,2.2,37.98,8.34,Clear
41,40,10/10/2023 22:06,11.35,1.13,21.37,1.51,Clear
42,26,11/17/2023 9:51,28.41,0.98,41.95,8.37,Rainy
43,14,11/10/2023 0:12,21.25,4.07,29.97,9.23,Rainy
44,20,6/19/2023 18:40,17.45,1.94,29.08,3.32,Cloudy
45,38,12/3/2023 15:08,1.7,2.45,41.08,1.24,Thunderstorm
46,36,3/11/2023 7:41,-8.22,2.67,7.28,6.07,Rainy
47,41,5/13/2023 4:19,3.79,2.93,15.47,4.83,Thunderstorm
48,32,8/2/2023 23:02,37.3,2.52,26.25,8.63,Cloudy
49,44,12/19/2023 6:55,21.8,2.04,12.99,2.67,Thunderstorm
50,35,3/12/2023 23:32,11.27,4.38,38.07,0.27,Cloudy
51,13,4/9/2023 18:43,1.12,0.87,11.98,9.47,Cloudy
52,8,12/11/2023 10:25,15.17,2.35,22.47,4.93,Snowy
53,26,8/26/2023 23:54,19.41,1.97,35.44,7.68,Snowy
54,41,6/17/2023 2:22,2.22,0.38,33.55,6.63,Snowy
55,17,11/15/2023 3:09,27.97,0.39,0.26,4.76,Rainy
56,34,7/31/2023 5:46,32.9,1.32,17,1.48,Snowy
57,13,1/14/2023 23:53,39.78,2.95,8.47,2.99,Rainy
58,9,7/9/2023 22:05,34.15,0.38,9.81,2.57,Rainy
59,40,12/22/2023 3:49,38.28,2.33,21.29,1.69,Cloudy
60,49,9/7/2023 15:51,6.42,1.48,17.56,2.3,Rainy
61,31,12/15/2023 12:44,23.6,2.27,31.61,8.64,Rainy
62,27,12/4/2023 16:50,-9.5,4.28,37.06,2.82,Rainy
63,36,10/15/2023 21:11,16.21,1.08,20.59,4.9,Snowy
64,23,1/29/2023 12:29,12.6,1.39,11.25,7.23,Thunderstorm
65,21,6/17/2023 0:48,31.45,2.93,48.1,7.49,Snowy
66,15,6/20/2023 22:55,1.7,4.89,21.48,1.99,Cloudy
67,38,11/24/2023 22:29,33.56,3.99,4.95,1.03,Clear
68,10,1/26/2023 4:23,36,4.65,17.73,4.29,Snowy
69,19,7/11/2023 0:55,-9.2,1.55,39.99,4.18,Clear
70,42,11/14/2023 15:24,-5.29,0.79,11.83,3.43,Clear
71,4,3/16/2023 11:26,17.27,2.36,26.86,0.04,Clear
72,39,8/13/2023 23:45,-2.32,4.34,37.47,6.73,Thunderstorm
73,30,12/25/2023 0:14,5.82,4.12,19.44,7.24,Rainy
74,8,8/5/2023 20:27,-6.15,2.85,47.76,8.15,Rainy
75,39,5/18/2023 20:45,12.55,1.67,48.93,7.3,Snowy
76,4,12/2/2023 14:47,-1.25,1.34,41.85,5.16,Rainy
77,35,5/23/2023 0:43,35.9,1.68,46.59,7.47,Clear
78,16,3/28/2023 17:11,14.22,4.24,10.9,8.16,Clear
79,49,1/16/2023 6:33,30.54,2.38,17.08,2.86,Rainy
80,16,3/13/2023 0:03,3.85,2.21,46.22,4.44,Rainy
81,8,2/17/2023 19:43,-4.21,3.96,8.62,0.58,Rainy
82,41,10/28/2023 1:26,17.17,4.69,9.92,8.88,Thunderstorm
83,26,5/18/2023 2:38,-2.06,4.53,45.05,4.33,Snowy
84,24,10/10/2023 19:07,3.51,1.56,32.18,3.76,Clear
85,37,3/26/2023 9:19,-2.5,1.46,32.23,4.87,Cloudy
86,40,12/3/2023 14:13,7.56,4.04,48.67,5.69,Rainy
87,19,4/5/2023 22:27,8.83,1,24.46,8.68,Clear
88,26,11/29/2023 15:12,30.9,0.91,20.26,5.84,Rainy
89,16,6/13/2023 10:23,37.42,3.96,47.55,1.16,Thunderstorm
90,28,6/29/2023 22:22,-8.17,2.08,8.14,8.2,Snowy
91,42,8/15/2023 14:40,12.41,4.84,4.99,3.13,Thunderstorm
92,41,8/12/2023 7:53,-3.37,2.79,15.03,3.23,Rainy
93,3,3/6/2023 0:10,20.03,0.57,37.58,8.91,Snowy
94,11,3/5/2023 23:31,9.8,1.61,37.93,8.83,Clear
95,15,10/29/2023 6:11,-8.73,4.27,41.09,8.09,Rainy
96,35,5/6/2023 9:39,25.91,1,36.12,3.46,Cloudy
97,40,8/27/2023 4:50,33.22,2.36,48.02,5.62,Snowy
98,4,3/29/2023 1:17,13.3,0.95,27.91,8.66,Snowy
99,28,1/18/2023 3:00,25.98,4.18,10.58,4.41,Snowy
100,13,9/27/2023 9:43,18.51,0.29,29.31,9.92,Rainy
101,21,11/27/2023 17:34,25.17,0.9,9.13,3.25,Snowy
102,30,7/31/2023 3:35,36.54,4.75,42.47,7.22,Cloudy
103,13,9/18/2023 16:30,7.4,1.21,10.47,6.04,Cloudy
104,30,9/10/2023 1:32,-0.75,2.59,38.75,1.45,Snowy
105,23,1/17/2023 20:10,-0.25,0.27,32.91,4.48,Rainy
106,2,8/22/2023 11:19,2.5,0.72,31.21,6.47,Cloudy
107,23,11/15/2023 2:15,36.24,2.47,33,3.21,Clear
108,36,3/10/2023 4:38,-3.92,0.51,23.61,7.18,Snowy
109,7,10/6/2023 0:13,-6.18,1.54,45.06,6.42,Cloudy
110,15,4/26/2023 21:06,37.55,4.96,4.98,7.96,Clear
111,35,10/13/2023 6:36,11.08,2.97,4.84,6.73,Thunderstorm
112,10,6/11/2023 3:18,26.37,4.54,11.01,1.8,Rainy
113,37,6/14/2023 18:20,25.76,2.72,25.38,6.58,Rainy
114,27,8/4/2023 17:15,9,3.97,12.49,6.04,Snowy
115,49,7/19/2023 15:25,13.4,0.35,9.13,4.48,Thunderstorm
116,41,10/12/2023 11:15,5.61,3.16,23.15,4.19,Thunderstorm
117,5,3/24/2023 8:35,-9.96,3.88,34.3,4.66,Clear
118,19,3/29/2023 21:43,36.65,2.49,16.13,2.88,Clear
119,18,11/13/2023 4:25,24.73,0.99,32.98,7.06,Thunderstorm
120,39,11/7/2023 13:32,36.23,3.31,17.91,9.11,Clear
121,24,1/27/2023 0:18,-8.48,0.74,40.49,3.86,Thunderstorm
122,18,4/14/2023 19:47,7.46,2.6,26.53,1.89,Cloudy
123,43,7/12/2023 15:00,-5.64,1.98,7.53,3.44,Cloudy
124,44,10/12/2023 17:04,28.77,1.43,15.95,6.82,Rainy
125,34,7/21/2023 23:27,24.45,3.2,11.76,9.65,Thunderstorm
126,1,2/19/2023 17:20,4.26,4.73,34.36,4.6,Clear
127,39,3/14/2023 10:10,37.5,3.89,23.03,2.44,Rainy
128,12,9/4/2023 21:59,2.67,0.86,6.03,0.36,Thunderstorm
129,28,7/26/2023 21:24,35.43,2.01,33.86,1.74,Cloudy
130,21,2/22/2023 15:09,18.93,3.19,14.97,8.46,Thunderstorm
131,4,8/25/2023 9:35,37.43,3.06,42.73,7.2,Snowy
132,25,12/16/2023 4:49,23.33,1.18,3.97,6.08,Snowy
133,27,11/24/2023 13:25,35.32,1.99,45.03,4.61,Rainy
134,50,4/18/2023 5:15,-3.93,3.91,11.68,3.75,Snowy
135,41,10/25/2023 22:57,4.71,4.34,43.6,1.48,Rainy
136,28,1/19/2023 8:30,2.04,3.75,1.96,1.58,Thunderstorm
137,49,11/21/2023 9:12,21.41,1.55,43.06,4.87,Clear
138,20,8/10/2023 1:05,34.28,4.4,40.69,2.01,Cloudy
139,12,11/8/2023 1:57,-6.37,4.1,44.69,0.9,Cloudy
140,18,8/30/2023 12:10,26.29,2.41,1.93,1.76,Rainy
141,14,1/26/2023 5:11,24.07,2.31,46.94,8.84,Thunderstorm
142,41,7/20/2023 20:57,35.51,1.97,42.35,0.08,Rainy
143,17,7/2/2023 21:18,3.22,3.31,43.64,9.09,Cloudy
144,1,3/22/2023 23:43,37.49,1.23,10.46,8.12,Snowy
145,29,8/12/2023 5:46,34.62,1.79,27.55,8.7,Rainy
146,40,11/30/2023 4:41,16.1,2.69,44.88,4.77,Cloudy
147,28,6/21/2023 0:32,-6.27,0.21,8.41,5.45,Thunderstorm
148,12,10/26/2023 1:19,3.73,2.49,27.45,4.11,Cloudy
149,35,1/4/2023 1:26,2.76,3.29,33.18,2.76,Clear
150,40,1/29/2023 12:27,-8.61,4.47,1.65,5.74,Cloudy
151,20,6/3/2023 2:11,2.87,0.8,16.17,0.54,Thunderstorm
152,10,7/6/2023 5:46,10.32,0.77,30.41,5.65,Snowy
153,2,2/17/2023 1:45,9.67,2.65,15.6,8.78,Clear
154,46,5/23/2023 22:05,4.06,4.02,41.46,0.96,Clear
155,21,8/25/2023 13:51,-4.35,3.97,13.66,4.23,Clear
156,26,1/26/2023 23:36,20.88,3.61,16.44,5.34,Clear
157,3,10/14/2023 14:10,-3.49,2.21,32.7,3.86,Snowy
158,29,1/11/2023 2:00,28.28,2.89,36.55,6.99,Clear
159,33,9/2/2023 10:57,16.98,3.22,21.54,2.22,Rainy
160,7,10/19/2023 6:32,24.46,2.17,37.65,2.41,Thunderstorm
161,10,1/25/2023 23:26,19.53,3.76,49.14,1.92,Thunderstorm
162,16,2/27/2023 13:31,32.39,1.73,26.08,0.42,Rainy
163,21,7/16/2023 17:38,15.76,4.98,5.19,8.23,Clear
164,1,2/7/2023 18:05,-6.05,0.66,27.74,6.02,Snowy
165,41,12/20/2023 9:00,0.83,2.29,20.43,6.14,Rainy
166,13,12/24/2023 7:17,24.35,1.76,24.58,0.67,Rainy
167,20,7/13/2023 8:42,6.87,2.12,36.73,4.46,Thunderstorm
168,42,7/25/2023 5:13,-0.53,0.86,39.97,9.9,Thunderstorm
169,13,4/6/2023 17:26,-2.49,2.79,2.23,0.28,Thunderstorm
170,39,3/8/2023 11:31,-5.55,4.6,12.67,5.96,Clear
171,16,3/31/2023 19:57,27.31,3.8,2.66,6.68,Thunderstorm
172,41,9/28/2023 10:48,28.85,1.61,8.74,7.18,Snowy
173,30,6/20/2023 14:49,-9.2,2.44,24.99,0.38,Thunderstorm
174,26,3/20/2023 23:02,-7.75,1.91,31.55,9.31,Snowy
175,48,12/5/2023 7:33,-4.34,4.82,46.75,2.24,Snowy
176,43,11/15/2023 17:10,7,3.25,0.98,7.25,Thunderstorm
177,50,2/6/2023 2:00,6.14,2.3,30.98,4.24,Clear
178,12,7/7/2023 8:24,-9.52,0.69,0.56,2.58,Snowy
179,32,6/22/2023 7:16,7.67,4.53,33.91,7.69,Thunderstorm
180,19,5/8/2023 22:37,0.11,3.47,11.93,2.9,Rainy
181,37,3/23/2023 17:42,3.19,2.49,36.51,2.12,Snowy
182,19,4/16/2023 9:53,14.25,3.36,43.66,1.94,Thunderstorm
183,10,10/29/2023 16:58,2.47,4.59,24.7,5.87,Rainy
184,37,4/11/2023 16:47,17.97,3.84,46.93,4.67,Thunderstorm
185,16,7/17/2023 6:34,35.03,0.25,27.95,9.67,Snowy
186,1,12/15/2023 14:44,31.55,1.86,9.85,4,Clear
187,33,11/16/2023 16:24,8.96,2.74,46.24,1.89,Clear
188,10,5/6/2023 22:19,30.79,0.15,32.22,8.17,Cloudy
189,3,6/26/2023 18:44,11.14,3.79,27.21,3.69,Thunderstorm
190,39,5/30/2023 14:49,-5.09,0.41,7.18,9.82,Clear
191,42,11/20/2023 5:12,33.44,0.89,7.97,7.74,Thunderstorm
192,5,3/9/2023 16:29,35.08,0.17,49.82,2.21,Thunderstorm
193,39,9/6/2023 12:28,31.74,2.53,24.16,3.81,Cloudy
194,45,8/8/2023 4:09,24.47,0.42,44.08,3.25,Snowy
195,31,8/8/2023 11:16,9.47,3.21,5.76,2.4,Snowy
196,17,8/2/2023 22:53,18.04,0.25,16.04,3.38,Thunderstorm
197,3,9/17/2023 4:15,8.95,2.51,0.01,9.84,Rainy
198,33,8/2/2023 6:36,26.87,2.94,34.13,0.86,Snowy
199,34,12/10/2023 17:18,38.76,4,14.14,7.64,Cloudy
200,12,6/23/2023 21:36,31.08,3.77,27.94,3.68,Snowy
201,48,5/11/2023 10:23,17.03,3.27,49.65,9.68,Snowy
202,13,8/23/2023 12:26,12.03,0.21,40.49,7.52,Clear
203,45,11/27/2023 5:43,36.74,0.35,16.59,0.95,Rainy
204,33,4/26/2023 13:28,30.66,2.03,16.99,2.18,Rainy
205,5,12/30/2023 0:22,-4.25,2.52,31.69,2.52,Clear
206,21,5/6/2023 12:11,37.36,0.96,26.69,1.18,Cloudy
207,25,12/25/2023 1:22,7.75,0.86,8.99,1.69,Cloudy
208,29,11/6/2023 13:44,-7.7,0.76,32.86,3.28,Thunderstorm
209,18,8/16/2023 12:07,36.5,3.8,3.28,5.17,Snowy
210,44,5/9/2023 2:18,5.83,1.16,12.76,9.48,Thunderstorm
211,29,7/25/2023 13:42,37.22,1.73,15.41,0.62,Thunderstorm
212,48,1/6/2023 22:33,0.8,2.48,31.56,2.54,Thunderstorm
213,12,2/19/2023 16:40,11.77,0.31,9.62,4.77,Snowy
214,6,7/2/2023 7:13,-5.06,2.56,3.76,4.98,Snowy
